phoneNumber,preferredLanguage,fspName,paymentAmountMultiplier,name,middlename,firstname,gender,birthdate,documentid,headhousehold,males,boys,women,girls,householdsituation,maritalsituation,specialcharacteristics,pregnant,breastfeeding,womendisabled,mendisabled,girlsdisabled,boysdisabled,childrenmalnourished,malnourishedtreatment,whatsappPhoneNumber
33082581781,en,Intersolve-whatsapp,2,Day,Christian,Sophia,Féminin,30-11-2000,NrShx,Oui,0,3,0,0,displaced,girl,womancharge,6,2,4,2,6,3,6,Non,88784248004
80332716977,nl,Intersolve-whatsapp,2,Taylor,Marion,Georgia,Masculin ,30-11-2000,AsdYc,Oui,7,1,0,5,returnee,abandoned,womancharge,2,4,6,0,1,5,5,Oui,96447526193
50154828409,nl,Intersolve-whatsapp,2,Reynolds,Vernon,Gene,Masculin ,30-11-2000,SDfiB,Oui,0,1,0,5,displaced,seperated,childcharge,2,7,0,3,2,3,3,Non,69281823783
11975389393,en,Intersolve-whatsapp,1,Aguilar,Calvin,Daisy,Féminin,15-03-1990,Bmgxw,Non,6,9,1,7,autochtoneprivate,abandoned,olderalone,0,1,7,2,8,5,5,Non,88709418323
95346144677,nl,Intersolve-whatsapp,2,Brock,Cecilia,Alfred,Féminin,15-03-1990,CFxDg,Non,5,1,1,5,autochtoneprivate,married,elderlycharge,0,0,6,5,5,7,1,Oui,65789341574
50687638364,en,Intersolve-whatsapp,1,Lloyd,Luke,Eva,Masculin ,15-03-1990,TBAjR,Oui,4,9,2,8,displaced,married,girlmother,7,5,0,5,2,9,8,Non,92982301408
38012890668,nl,Intersolve-whatsapp,1,Tyler,Aiden,Amy,Masculin ,30-11-2000,DXhHX,Non,4,4,7,1,autochtonehost,divorced,olderalone,4,8,1,1,6,0,9,Oui,64157909776
94409927470,en,Intersolve-whatsapp,1,Cummings,Maude,Franklin,Féminin,15-03-1990,jipqM,Non,2,5,8,7,returnee,abandoned,none,2,5,1,5,7,8,4,Oui,80708514804
56945030832,en,Intersolve-whatsapp,1,Barker,Elsie,Cecilia,Féminin,30-11-2000,Vxyhw,Non,1,2,0,1,displaced,seperated,pregnantbrestfeeding,8,0,6,6,2,5,3,Non,43992889415
33566777849,en,Intersolve-whatsapp,2,Holt,Effie,Matthew,Féminin,30-11-2000,GhIvw,Non,1,7,1,5,autochtonehost,married,childcharge,9,5,2,9,4,6,0,Oui,91474170651
30362575230,en,Intersolve-whatsapp,1,Dixon,Arthur,Lydia,Féminin,15-03-1990,oukos,Non,4,4,2,8,returnee,married,girlmother,4,1,9,7,2,7,8,Non,16875855037
81416858280,nl,Intersolve-whatsapp,2,Perkins,Jacob,Estella,Masculin ,30-11-2000,KfCXi,Oui,9,9,6,2,autochtoneprivate,seperated,girlmother,3,7,8,6,2,7,9,Oui,15179520794
17700094629,nl,Intersolve-whatsapp,2,Jensen,Christian,Francis,Masculin ,15-03-1990,WOsOl,Oui,8,7,9,4,autochtonehost,married,olderalone,0,4,0,4,0,0,5,Non,92030352114
13967367862,en,Intersolve-whatsapp,2,Mills,Floyd,Bryan,Féminin,15-03-1990,fMgTO,Non,3,4,9,1,autochtonehost,seperated,pregnantbrestfeeding,9,1,2,2,3,4,1,Non,10874222030
52501171019,en,Intersolve-whatsapp,2,Newton,Tom,Belle,Masculin ,15-03-1990,CgMze,Oui,1,6,8,4,displaced,abandoned,girlmother,7,0,7,0,1,4,4,Non,10981680677
73265750615,nl,Intersolve-whatsapp,2,Nash,Stephen,Hettie,Masculin ,15-03-1990,YJuKh,Oui,5,7,6,3,displaced,girl,childcharge,5,6,8,1,8,3,6,Non,11195990758
45547862391,nl,Intersolve-whatsapp,1,Yates,Fanny,Austin,Féminin,30-11-2000,vzWHr,Oui,8,1,7,2,returnee,married,pregnantbrestfeeding,4,1,5,2,3,7,8,Non,84086325271
60245721791,en,Intersolve-whatsapp,2,Hubbard,Alma,Ruby,Féminin,15-03-1990,Uvxdh,Non,9,0,1,4,autochtonehost,seperated,olderalone,8,5,6,3,5,7,0,Non,65781010766
01296242342,nl,Intersolve-whatsapp,1,Weaver,Adelaide,Max,Féminin,15-03-1990,LoQqU,Oui,5,3,0,5,autochtoneprivate,seperated,elderlycharge,6,0,7,3,4,8,5,Oui,08354773190
46641602657,nl,Intersolve-whatsapp,2,Bailey,Lizzie,Jackson,Masculin ,15-03-1990,dktgq,Oui,7,1,4,2,displaced,divorced,pregnantbrestfeeding,3,4,7,2,8,5,0,Oui,79926694642
90970123064,nl,Intersolve-whatsapp,2,Davidson,Eunice,Harriett,Féminin,30-11-2000,WiVSv,Non,0,5,2,9,autochtoneprivate,divorced,pregnantbrestfeeding,3,0,3,0,0,3,2,Oui,29137857398
11412977016,nl,Intersolve-whatsapp,1,Wise,Leila,Georgia,Masculin ,15-03-1990,SSoxR,Non,5,3,1,5,autochtonehost,widowed,elderlycharge,9,0,1,4,9,9,6,Oui,33325030676
95268987269,en,Intersolve-whatsapp,1,Burke,Eugene,Travis,Féminin,30-11-2000,fbXzN,Oui,2,9,1,0,returnee,married,none,7,4,7,3,5,6,2,Oui,21190908788
39958872292,en,Intersolve-whatsapp,1,Douglas,Tyler,Estella,Féminin,30-11-2000,YwrVO,Oui,6,3,3,1,displaced,seperated,pregnantbrestfeeding,3,5,9,4,6,1,9,Non,65488022081
95915454721,nl,Intersolve-whatsapp,1,Dawson,Roger,Carolyn,Masculin ,15-03-1990,GTfIV,Oui,6,6,8,0,autochtonehost,girl,none,1,9,9,9,8,1,1,Non,47178857202
44138416169,en,Intersolve-whatsapp,1,Knight,Henrietta,Daisy,Masculin ,15-03-1990,kbcFg,Non,0,3,0,1,displaced,widowed,elderlycharge,5,0,9,6,6,5,3,Oui,51592096078
14240638307,nl,Intersolve-whatsapp,1,Daniels,Carolyn,Jane,Féminin,30-11-2000,VcyQO,Oui,9,7,9,2,displaced,married,olderalone,9,0,7,4,9,2,0,Non,70152370592
58248731965,nl,Intersolve-whatsapp,1,Ross,Clyde,Roger,Masculin ,15-03-1990,TjZUz,Oui,0,4,8,8,autochtonehost,abandoned,olderalone,4,3,3,7,2,2,8,Oui,71035505293
88852265333,nl,Intersolve-whatsapp,1,Underwood,Susie,Mildred,Masculin ,30-11-2000,MstJJ,Oui,3,8,1,5,autochtoneprivate,seperated,girlmother,0,0,8,3,8,8,0,Oui,01095913517
42249133597,en,Intersolve-whatsapp,2,Conner,Bertie,Connor,Féminin,15-03-1990,EGgrI,Non,0,7,1,4,autochtoneprivate,divorced,olderalone,1,4,4,5,4,8,2,Non,75408248350
06957321024,en,Intersolve-whatsapp,1,Powers,Marc,Marian,Féminin,30-11-2000,MHliv,Oui,8,5,5,3,displaced,seperated,womancharge,1,8,9,2,1,5,6,Non,12159674584
86677802017,en,Intersolve-whatsapp,1,Norton,Sallie,Etta,Féminin,15-03-1990,sbYaK,Non,5,9,5,1,autochtoneprivate,abandoned,womancharge,0,4,7,5,6,7,2,Oui,03507600141
55336504345,nl,Intersolve-whatsapp,2,Fox,Ricky,John,Masculin ,15-03-1990,GKpQE,Non,1,3,7,3,autochtoneprivate,seperated,none,8,7,0,7,1,6,5,Non,69206313882
48119812886,en,Intersolve-whatsapp,1,Woods,Marcus,Franklin,Féminin,30-11-2000,siiRh,Oui,9,0,5,4,autochtonehost,seperated,womancharge,8,3,8,1,4,8,2,Oui,95247754320
73980159636,en,Intersolve-whatsapp,2,Allen,Helen,Alice,Féminin,30-11-2000,IVWIZ,Non,4,6,3,9,displaced,divorced,pregnantbrestfeeding,4,8,4,3,2,2,9,Oui,66361451712
78963054073,en,Intersolve-whatsapp,2,Reese,Louise,Charles,Féminin,30-11-2000,KSblJ,Oui,7,7,2,4,returnee,divorced,womancharge,1,2,7,2,4,2,4,Non,81691018099
77449379179,en,Intersolve-whatsapp,2,Sharp,Maud,Earl,Féminin,15-03-1990,Ryiwj,Oui,2,1,2,9,returnee,seperated,womancharge,9,3,4,5,5,1,4,Non,82065492242
59515613597,nl,Intersolve-whatsapp,2,Santos,Lenora,Milton,Féminin,30-11-2000,BVcKn,Non,7,6,0,5,displaced,seperated,elderlycharge,5,2,1,1,2,5,2,Oui,39208487596
23317560999,en,Intersolve-whatsapp,1,Potter,Jacob,Irene,Masculin ,30-11-2000,PLCjP,Oui,0,8,5,9,displaced,divorced,elderlycharge,4,7,8,4,5,3,6,Oui,39262699357
80468629359,en,Intersolve-whatsapp,1,Bennett,Jon,Allie,Masculin ,30-11-2000,jkgTU,Oui,3,2,5,5,returnee,abandoned,elderlycharge,2,4,6,3,8,7,3,Oui,94446286078
80223902906,nl,Intersolve-whatsapp,2,Rodgers,Nathan,Olive,Masculin ,30-11-2000,TnwFr,Non,4,6,5,2,autochtonehost,married,elderlycharge,8,5,3,6,9,8,0,Oui,53748185260
86859667111,nl,Intersolve-whatsapp,1,Simpson,Christina,Iva,Masculin ,30-11-2000,QqBrY,Non,8,2,7,7,returnee,seperated,womancharge,4,5,3,3,8,1,8,Non,03450412757
79280325455,nl,Intersolve-whatsapp,1,Powers,Joel,Erik,Masculin ,30-11-2000,rkxHm,Oui,9,6,6,0,autochtonehost,widowed,pregnantbrestfeeding,9,2,6,5,9,2,5,Oui,23148265829
25143203249,nl,Intersolve-whatsapp,2,Robertson,Zachary,Harold,Masculin ,15-03-1990,cQrgQ,Oui,8,8,1,5,autochtonehost,divorced,pregnantbrestfeeding,4,4,1,7,1,2,2,Non,39498733408
56815771254,en,Intersolve-whatsapp,2,Hill,Julia,Tillie,Masculin ,30-11-2000,zGZLY,Oui,0,9,6,0,autochtoneprivate,seperated,none,0,1,1,7,8,8,7,Oui,36267003262
43834099206,en,Intersolve-whatsapp,2,Nguyen,Eunice,Jay,Masculin ,30-11-2000,Arzik,Non,4,9,9,2,autochtoneprivate,abandoned,girlmother,8,0,0,9,8,3,3,Oui,14296336900
81816941469,nl,Intersolve-whatsapp,1,Fisher,Katherine,Jean,Féminin,30-11-2000,tQetU,Non,6,1,5,9,displaced,divorced,pregnantbrestfeeding,6,9,7,9,6,8,5,Oui,52389129348
20817836233,nl,Intersolve-whatsapp,2,Parks,Charles,Lucas,Féminin,15-03-1990,LMcTi,Oui,5,3,0,9,displaced,divorced,olderalone,7,9,4,8,3,9,5,Oui,50845164227
51404363421,en,Intersolve-whatsapp,1,Lowe,Rodney,Irene,Masculin ,15-03-1990,EgeZk,Oui,2,6,3,5,autochtoneprivate,widowed,childcharge,8,4,2,9,0,9,1,Non,08851208947
57121130312,nl,Intersolve-whatsapp,1,Cruz,Marcus,Jonathan,Masculin ,30-11-2000,fXKsj,Oui,0,0,3,8,autochtonehost,seperated,olderalone,2,0,7,2,4,8,4,Oui,96292311308
99493517696,nl,Intersolve-whatsapp,1,Drake,Lawrence,Cora,Masculin ,30-11-2000,MVlMy,Oui,2,5,7,4,autochtonehost,girl,none,0,9,9,1,1,3,3,Non,19249646631
51352071581,en,Intersolve-whatsapp,1,Mullins,Sara,Luis,Féminin,30-11-2000,vkecU,Non,4,8,6,9,displaced,abandoned,womancharge,8,6,2,8,9,0,8,Non,05007784037
45915746466,nl,Intersolve-whatsapp,1,Summers,Hannah,Alejandro,Féminin,15-03-1990,JIuBx,Non,7,1,9,2,returnee,divorced,olderalone,5,2,9,7,3,0,0,Non,12907534079
57275680808,en,Intersolve-whatsapp,2,Jefferson,Leah,Manuel,Féminin,15-03-1990,YFIlo,Non,2,6,0,9,displaced,divorced,pregnantbrestfeeding,6,3,3,4,3,8,8,Oui,69979311053
77205351070,nl,Intersolve-whatsapp,2,Freeman,Leila,Tommy,Féminin,30-11-2000,BuKUD,Non,6,5,0,4,autochtoneprivate,married,elderlycharge,5,6,2,8,0,5,6,Oui,89368920052
30473060511,en,Intersolve-whatsapp,1,Lopez,Inez,Nathan,Féminin,30-11-2000,zlhhU,Oui,4,6,3,2,autochtonehost,girl,elderlycharge,9,7,9,9,1,1,0,Oui,80458897570
04901055747,en,Intersolve-whatsapp,1,Neal,Stephen,Clara,Masculin ,30-11-2000,iGBmD,Non,4,3,8,8,autochtoneprivate,girl,elderlycharge,2,2,4,8,7,4,5,Non,51375514767
34649896327,en,Intersolve-whatsapp,2,Garner,Abbie,Mable,Féminin,15-03-1990,JABxd,Oui,0,4,1,8,returnee,girl,olderalone,5,3,7,5,6,1,6,Oui,60819142652
75660548011,nl,Intersolve-whatsapp,2,Moran,Wayne,Travis,Masculin ,30-11-2000,EwbCG,Non,4,6,7,4,autochtonehost,girl,girlmother,3,7,9,8,4,5,0,Non,09714192529
97413263376,nl,Intersolve-whatsapp,2,Pearson,Leila,Brian,Féminin,15-03-1990,pfxCO,Non,1,1,6,6,displaced,seperated,girlmother,6,0,1,0,9,3,2,Oui,88731954938
68108718346,en,Intersolve-whatsapp,1,Carpenter,Violet,Rose,Féminin,15-03-1990,yOERC,Oui,5,9,2,9,displaced,girl,elderlycharge,4,1,3,3,4,3,7,Non,59121586812
98063357700,nl,Intersolve-whatsapp,1,Bass,Marion,Jimmy,Masculin ,15-03-1990,uUYTJ,Non,4,8,7,1,displaced,seperated,elderlycharge,8,7,3,6,2,0,4,Oui,16067866652
57985664901,nl,Intersolve-whatsapp,2,McKenzie,Edgar,Thomas,Masculin ,15-03-1990,RBYvV,Non,3,4,5,7,autochtonehost,seperated,womancharge,1,5,9,1,0,0,4,Oui,35232403322
39911088648,nl,Intersolve-whatsapp,1,Peters,Ian,Michael,Féminin,15-03-1990,ruCcC,Non,3,1,7,1,returnee,girl,pregnantbrestfeeding,6,0,0,5,5,0,4,Oui,32172823000
34398714025,nl,Intersolve-whatsapp,2,Rogers,Lilly,Ethel,Féminin,30-11-2000,vjiaY,Oui,0,7,2,2,autochtoneprivate,widowed,none,8,0,2,4,0,5,1,Non,20961354885
26383791408,nl,Intersolve-whatsapp,2,Daniels,Georgie,Lloyd,Féminin,30-11-2000,tTjvq,Oui,6,2,9,1,returnee,seperated,womancharge,3,3,6,9,0,2,1,Oui,89381104958
80442944687,nl,Intersolve-whatsapp,1,Peterson,Emilie,Leroy,Masculin ,15-03-1990,SaUMF,Oui,8,8,2,5,autochtonehost,girl,olderalone,1,2,9,7,9,2,1,Non,58146675787
16166130650,en,Intersolve-whatsapp,1,Cobb,Marcus,Stephen,Féminin,15-03-1990,AnqaJ,Non,3,4,2,6,autochtoneprivate,divorced,womancharge,0,2,7,6,1,5,1,Non,25125904467
04183962794,en,Intersolve-whatsapp,2,Ingram,Owen,Eliza,Masculin ,15-03-1990,fjtGe,Oui,6,4,6,5,returnee,seperated,childcharge,0,7,9,7,4,6,1,Non,68933371441
10490698687,en,Intersolve-whatsapp,2,Larson,Rachel,Georgie,Féminin,30-11-2000,IkzFH,Non,1,0,3,8,autochtonehost,seperated,pregnantbrestfeeding,2,1,9,9,0,5,3,Non,97297217428
30901646513,nl,Intersolve-whatsapp,2,Hardy,Augusta,Matilda,Masculin ,30-11-2000,vjlmj,Oui,0,6,5,9,displaced,abandoned,olderalone,4,8,3,0,7,2,8,Oui,24724582213
21746540448,nl,Intersolve-whatsapp,2,Johnston,Fanny,Nora,Masculin ,15-03-1990,BCKjJ,Oui,7,5,0,1,displaced,married,girlmother,2,2,2,7,3,3,9,Oui,39731527120
33586847551,nl,Intersolve-whatsapp,2,Tran,Aiden,Sophie,Masculin ,15-03-1990,OnkVe,Oui,7,5,0,7,autochtonehost,abandoned,girlmother,7,5,0,0,5,9,3,Non,14802472913
04655435953,en,Intersolve-whatsapp,1,Schmidt,Katherine,Lottie,Féminin,15-03-1990,OLxhO,Non,5,5,5,9,autochtonehost,seperated,womancharge,3,1,7,7,5,6,8,Oui,40546901859
67800604199,en,Intersolve-whatsapp,2,Jordan,Barry,Nell,Masculin ,30-11-2000,gdcHe,Non,2,9,3,2,autochtoneprivate,married,olderalone,0,1,1,8,9,2,1,Oui,23018131498
16875687239,nl,Intersolve-whatsapp,1,Simpson,Lola,Stephen,Masculin ,30-11-2000,QPaZZ,Oui,3,7,0,7,autochtoneprivate,divorced,olderalone,6,8,8,2,0,6,9,Non,00967446291
39961640209,nl,Intersolve-whatsapp,1,Barnes,Lena,Leona,Féminin,30-11-2000,AHzJh,Oui,4,6,1,7,autochtonehost,married,womancharge,9,0,1,1,7,9,0,Non,85292664144
40798600288,en,Intersolve-whatsapp,2,Byrd,Lucille,Ophelia,Masculin ,30-11-2000,XaXmD,Non,6,9,0,8,returnee,seperated,pregnantbrestfeeding,3,5,1,7,2,5,4,Non,00238900972
77747363442,nl,Intersolve-whatsapp,1,Hardy,Mina,Mabel,Féminin,30-11-2000,jbXMv,Non,2,2,2,5,displaced,abandoned,elderlycharge,0,5,0,3,2,1,0,Oui,74182181102
32777117076,nl,Intersolve-whatsapp,2,Griffin,Earl,Johanna,Féminin,15-03-1990,JhArE,Non,0,2,9,3,autochtonehost,widowed,pregnantbrestfeeding,9,8,5,6,3,5,9,Non,89694885401
31143770252,en,Intersolve-whatsapp,2,Schultz,Craig,Phoebe,Féminin,30-11-2000,HxtSr,Non,5,0,6,8,autochtoneprivate,widowed,olderalone,6,9,6,0,9,1,9,Oui,96358061267
94264250579,nl,Intersolve-whatsapp,2,Todd,Bradley,Julian,Féminin,15-03-1990,xFWmz,Non,3,2,4,1,autochtonehost,divorced,pregnantbrestfeeding,7,0,1,2,3,5,6,Oui,05487723002
94767744907,en,Intersolve-whatsapp,2,Martin,Minnie,Edith,Masculin ,15-03-1990,ThOYV,Non,3,7,9,8,autochtoneprivate,girl,olderalone,2,8,9,6,8,3,8,Non,12956260990
01655207124,en,Intersolve-whatsapp,1,Douglas,Martha,Jennie,Féminin,15-03-1990,kieRk,Oui,5,4,3,4,autochtoneprivate,widowed,womancharge,7,2,1,2,3,0,0,Oui,49542574819
67048964282,nl,Intersolve-whatsapp,2,Romero,Clara,Margaret,Masculin ,30-11-2000,JhRLU,Oui,2,1,7,6,displaced,married,childcharge,0,2,5,7,8,5,7,Oui,65248915766
93856573643,en,Intersolve-whatsapp,2,Simmons,Edward,Thomas,Masculin ,15-03-1990,YdsyR,Non,8,9,2,1,autochtoneprivate,seperated,girlmother,0,4,9,1,5,3,0,Oui,12632872100
19973568168,nl,Intersolve-whatsapp,2,Herrera,Willie,Cecilia,Féminin,30-11-2000,CmUMe,Non,2,0,7,4,returnee,girl,pregnantbrestfeeding,4,8,7,7,2,2,8,Oui,17401193086
54071334223,en,Intersolve-whatsapp,1,Vargas,Calvin,Herbert,Féminin,30-11-2000,bJkio,Non,1,5,1,8,autochtoneprivate,girl,olderalone,1,4,5,2,5,7,1,Non,33722946697
71090648171,nl,Intersolve-whatsapp,1,Poole,Jay,Erik,Féminin,30-11-2000,MPHZu,Non,7,1,2,4,autochtonehost,girl,olderalone,9,1,6,8,7,1,3,Non,49562471657
82175580288,en,Intersolve-whatsapp,1,Moreno,Isabel,Evelyn,Féminin,30-11-2000,mMWez,Non,4,7,3,9,returnee,girl,childcharge,6,3,1,4,8,5,0,Oui,06896073781
73224577259,en,Intersolve-whatsapp,1,Rice,Robert,Philip,Masculin ,30-11-2000,byvbe,Oui,4,1,5,5,autochtoneprivate,divorced,childcharge,8,8,4,6,2,4,9,Oui,16541807187
87480520546,en,Intersolve-whatsapp,1,Simon,Matthew,Erik,Féminin,15-03-1990,EhbIe,Non,2,5,8,2,returnee,seperated,olderalone,8,1,5,5,5,5,5,Non,17875843948
19078758702,nl,Intersolve-whatsapp,2,Warner,Kate,Walter,Féminin,15-03-1990,AwORa,Oui,4,2,9,2,autochtoneprivate,seperated,olderalone,6,5,1,7,5,7,1,Oui,14056798085
46575207170,en,Intersolve-whatsapp,1,Munoz,Charlie,Brent,Féminin,30-11-2000,eQHhb,Non,6,0,7,7,autochtonehost,married,womancharge,1,9,1,0,7,0,6,Non,91720760132
16767319905,nl,Intersolve-whatsapp,1,Brown,Brent,Sylvia,Féminin,15-03-1990,yjark,Non,2,0,6,2,autochtonehost,married,childcharge,5,3,8,9,5,2,3,Non,22342471765
96046019486,nl,Intersolve-whatsapp,1,Schwartz,Ida,Landon,Féminin,15-03-1990,NpMcy,Oui,4,7,7,6,displaced,girl,womancharge,1,1,4,3,1,8,5,Oui,33899570255
12838915603,en,Intersolve-whatsapp,1,Farmer,Hallie,Lee,Féminin,30-11-2000,QckWG,Oui,2,3,5,6,autochtoneprivate,girl,womancharge,5,4,6,2,9,3,2,Non,89861210005
99045475574,en,Intersolve-whatsapp,2,Greer,Luella,Beatrice,Masculin ,30-11-2000,wmoHq,Non,6,6,3,4,autochtonehost,seperated,none,0,5,4,7,2,3,4,Non,87639382072
30218225793,en,Intersolve-whatsapp,1,Thompson,Christian,Chase,Masculin ,15-03-1990,iQyWA,Oui,8,0,2,5,autochtonehost,seperated,elderlycharge,5,1,3,0,1,9,9,Oui,50058044695
15930868189,nl,Intersolve-whatsapp,2,Edwards,Henrietta,Lydia,Féminin,30-11-2000,kmbQE,Oui,9,9,9,1,displaced,seperated,elderlycharge,3,9,9,2,1,4,2,Non,84052189296
08049038171,nl,Intersolve-whatsapp,1,Floyd,Lucinda,Bill,Féminin,30-11-2000,JTiAB,Oui,6,1,2,2,autochtonehost,girl,womancharge,8,5,8,9,3,0,7,Non,23044370807
74665599734,en,Intersolve-whatsapp,1,Thompson,Florence,Eula,Féminin,15-03-1990,ziuvD,Non,3,0,3,9,displaced,seperated,womancharge,7,5,2,8,4,3,8,Oui,07237720192
63799171426,nl,Intersolve-whatsapp,2,Sherman,Lucas,Essie,Féminin,30-11-2000,MaQXx,Non,9,2,9,4,autochtonehost,married,girlmother,6,5,0,5,3,3,6,Non,21300669511
84191026386,en,Intersolve-whatsapp,1,Stewart,Sadie,Charlotte,Féminin,15-03-1990,wKLhm,Oui,8,4,5,1,displaced,seperated,womancharge,6,9,9,8,5,8,9,Non,60970576658
70232178255,en,Intersolve-whatsapp,2,Houston,Susan,Viola,Masculin ,30-11-2000,xEGIf,Non,6,3,6,8,displaced,seperated,childcharge,0,0,5,3,6,7,8,Oui,44219782985
76435843145,nl,Intersolve-whatsapp,2,Stevens,Michael,Clara,Masculin ,15-03-1990,sOYPI,Non,3,2,0,9,displaced,abandoned,pregnantbrestfeeding,4,9,7,3,8,9,7,Oui,29775603948
24447927601,en,Intersolve-whatsapp,1,Gray,Josephine,Mason,Féminin,15-03-1990,IeOfq,Non,1,2,6,7,autochtoneprivate,girl,none,6,7,6,8,3,2,6,Oui,45546399186
10639500327,en,Intersolve-whatsapp,1,Carter,Adam,Dylan,Masculin ,15-03-1990,kqtrr,Non,4,3,9,7,autochtoneprivate,married,pregnantbrestfeeding,0,6,8,8,8,1,5,Non,50207888659
58254039621,en,Intersolve-whatsapp,1,Turner,Nancy,Jay,Féminin,30-11-2000,oqgCw,Oui,0,3,8,7,autochtonehost,widowed,girlmother,5,9,7,1,3,1,3,Oui,14589728397
57162004887,en,Intersolve-whatsapp,2,Bell,Angel,Cynthia,Masculin ,30-11-2000,wZMfy,Non,1,1,3,6,displaced,divorced,elderlycharge,3,9,4,9,3,7,9,Non,74427267682
83571347926,en,Intersolve-whatsapp,2,Simmons,Leonard,Warren,Masculin ,30-11-2000,zzVXD,Non,7,5,5,0,displaced,married,none,5,1,3,9,8,8,3,Non,90812004435
36226661540,en,Intersolve-whatsapp,2,Walters,Isaiah,Sylvia,Masculin ,15-03-1990,lnBZs,Oui,4,7,2,2,returnee,married,womancharge,5,4,5,0,9,7,2,Non,66940670200
13303277372,nl,Intersolve-whatsapp,2,Robinson,Edna,Mable,Féminin,30-11-2000,KDEzs,Non,9,2,8,8,returnee,seperated,girlmother,0,6,4,5,9,5,3,Non,13324384787
