projectFspConfigurationName;phoneNumber;preferredLanguage;maxPayments;scope;age;gender;fullName;village;howManyOver65;howManyChronic;howManyDisabilities;howManyPregnantLactating;howManyUnder5;howManyWidows;sum;totalHHSize;nationalId
Excel;254517428613;en;2;kisumu.kisumu-central;84;female;Carla Kelly;Nyamasaria;1;1;0;0;1;1;4;7;99949389
Excel;254915973881;en;2;turkana;28;female;Debra Zuniga;Kakuma;1;0;0;0;1;0;2;3;96977837
Excel;254740742155;en;2;kisumu.kisumu-central;67;female;Andrea Reid;Nyamasaria;0;1;0;0;1;0;2;5;81691040
Excel;254598136700;en;2;kisumu.kisumu-west;72;female;Monica Martin;Kisian;0;0;0;1;1;0;2;5;60929647
Excel;254805066345;en;2;kisumu.kisumu-west;47;male;Devin Schaefer;Kisian;1;0;0;1;0;0;2;3;84752529
Excel;254954165729;en;2;kisumu.kisumu-central;50;female;Colleen Nguyen;Nyamasaria;1;1;1;1;0;0;4;7;17507864
Excel;254916805726;en;2;kisumu.kisumu-east;58;female;Crystal Johnson;Kajulu;0;0;0;1;1;0;2;3;52339391
Excel;254710028163;en;2;turkana.turkana-north;89;male;James Jones;Nakwamekwi;0;0;0;0;0;0;0;3;86125617
Excel;254596931387;en;2;turkana;60;female;Sherri Edwards;Lokichar;1;0;1;0;0;0;2;5;97971488
Excel;254634464058;en;2;kisumu;47;female;Kathryn Wilkerson;Nyalenda;0;0;0;0;1;1;2;5;96282117
Excel;254206004537;en;2;turkana.turkana-north;69;female;Judy Baker;Nakwamekwi;0;0;1;0;0;0;1;4;43101783
Excel;254613711294;en;2;kisumu.kisumu-east;58;male;Patrick Ryan;Kondele;0;1;0;0;0;1;2;3;88461803
Excel;254800817657;en;2;turkana.turkana-north;68;female;Jessica Silva;Nariemet;0;0;0;1;0;1;2;3;58586340
Excel;254622904639;en;2;kisumu;36;female;Colleen Bright;Manyatta;0;0;0;0;0;0;0;2;78387461
Excel;254996488413;en;2;turkana;55;male;Johnny Campos;Lokichar;1;1;0;1;0;1;4;6;24716857
Excel;254352763887;en;2;turkana.turkana-north;58;female;Brittany Moore;Nakwamekwi;0;0;0;1;1;0;2;4;66661351
Excel;254764732289;en;2;turkana;32;female;Linda Cruz;Lodwar;0;0;0;0;0;1;1;2;89978790
Excel;254453462814;en;2;turkana.turkana-north;71;male;Zachary Rice;Nakwamekwi;0;1;0;1;1;1;4;5;84252722
Excel;254280443763;en;2;turkana.turkana-north;66;female;Shannon Smith;Nariemet;0;0;0;0;1;1;2;3;25374874
Excel;254704954833;en;2;turkana.turkana-north;61;female;Melanie Herrera;Nariemet;0;1;0;1;0;0;2;3;45812670
Excel;254452157564;en;2;kisumu.kisumu-west;54;female;Patricia Peterson;Otonglo;0;0;0;1;1;0;2;4;49392920
Excel;254352136590;en;2;kisumu;72;female;Jessica Chavez;Obunga;0;0;0;1;0;1;2;4;45351479
Excel;254391605935;en;2;kisumu;41;male;Wesley Gill;Nyalenda;0;1;1;0;0;0;2;4;78139880
Excel;254503961340;en;2;kisumu.kisumu-central;72;male;Thomas Harrell;Milimani;0;1;0;0;1;0;2;4;50056581
Excel;254343523573;en;2;kisumu.kisumu-central;63;female;Sarah Romero;Milimani;0;0;0;0;0;1;1;4;36697396
Excel;254838443375;en;2;turkana;37;male;Christian Farmer;Lodwar;0;0;0;0;0;0;0;3;82394227
Excel;254887502377;en;2;kisumu.kisumu-west;44;male;Troy Nielsen;Otonglo;1;0;0;1;0;0;2;4;10076758
Excel;254291027210;en;2;turkana;68;female;Linda Burns;Kakuma;0;0;1;1;0;0;2;3;25014631
Excel;254225776538;en;2;turkana.turkana-north;80;female;Tanya Koch;Nakwamekwi;1;0;0;0;0;0;1;3;51273847
Excel;254775891413;en;2;kisumu;25;female;Cynthia Allen;Manyatta;0;0;1;1;0;0;2;4;86149359
Excel;254185728105;en;2;turkana;35;male;Travis Miller;Lokichar;1;1;0;0;1;0;3;6;75228535
Excel;254912774503;en;2;kisumu;84;female;Rose Spence;Manyatta;1;1;0;0;0;1;3;6;81498611
Excel;254867755466;en;2;kisumu.kisumu-central;54;female;Pamela Anderson;Nyamasaria;0;1;1;1;0;0;3;6;73791320
Excel;254318178277;en;2;turkana;22;male;Travis Martin;Lokichar;0;1;1;0;0;0;2;5;80823176
Excel;254852959143;en;2;kisumu;85;male;Shane Henderson;Obunga;0;1;0;0;0;0;1;3;38427073
Excel;254910049709;en;2;turkana.turkana-north;89;female;Tanya Campos;Nariemet;0;0;1;0;0;1;2;5;36998038
Excel;254400058333;en;2;kisumu.kisumu-east;33;male;Micheal Ross;Kajulu;0;1;1;1;0;0;3;4;97225156
Excel;254421372280;en;2;turkana;32;male;James Lam;Lokichar;0;0;1;0;0;0;1;2;70597444
Excel;254384851555;en;2;kisumu.kisumu-west;44;female;Barbara Walker;Otonglo;0;0;0;1;0;0;1;4;55377076
Excel;254487767604;en;2;kisumu.kisumu-central;40;female;Alisha Spencer;Milimani;0;0;1;0;0;0;1;3;88979095
Excel;254934761878;en;2;turkana;24;male;Daniel Jones;Lokichar;0;1;0;0;0;0;1;2;94705205
Excel;254264002886;en;2;kisumu.kisumu-west;46;male;Anthony Jones;Otonglo;0;0;1;0;1;1;3;4;14216175
Excel;254195492073;en;2;kisumu.kisumu-central;31;male;Scott Jones;Milimani;0;0;0;0;1;0;1;4;41944441
Excel;254600194456;en;2;kisumu.kisumu-west;58;female;Diana Washington;Otonglo;0;0;1;0;0;1;2;4;82374753
Excel;254682979813;en;2;kisumu;33;female;Brandi Walls;Nyalenda;0;1;0;1;0;0;2;5;86644106
Excel;254265207269;en;2;turkana;46;male;Kenneth Sanchez;Lodwar;0;1;0;0;1;1;3;6;73481353
Excel;254906054665;en;2;turkana.turkana-north;77;female;Rhonda Lee;Nakwamekwi;1;1;0;0;1;0;3;4;23009833
Excel;254367991618;en;2;kisumu.kisumu-central;48;female;Mary Gomez;Milimani;0;1;0;0;1;0;2;3;65177213
Excel;254200602804;en;2;kisumu.kisumu-central;63;male;John Daniel;Milimani;0;0;0;0;1;0;1;2;97705310
Excel;254943596213;en;2;kisumu.kisumu-west;19;male;William Garcia;Otonglo;0;0;0;1;0;0;1;3;64038913
Excel;254510125990;en;2;turkana.turkana-north;41;female;Monica Mcbride;Nakwamekwi;0;0;1;0;0;0;1;2;24665841
Excel;254144029525;en;2;turkana;89;male;David Lee;Lokichar;1;0;1;1;0;0;3;6;70211891
Excel;254665394530;en;2;turkana;70;male;Charles White;Kakuma;0;1;0;1;0;0;2;5;72092888
Excel;254626897589;en;2;turkana;86;female;Danielle Leblanc;Kakuma;0;0;1;0;1;0;2;4;69476001
Excel;254162221177;en;2;kisumu.kisumu-east;32;female;Rhonda Chase;Kajulu;0;1;0;0;0;0;1;3;23141087
Excel;254551420630;en;2;turkana;51;female;Amber Kidd;Lodwar;0;1;0;0;0;0;1;2;11980765
Excel;254578909192;en;2;turkana.turkana-north;38;female;Tracy House;Nakwamekwi;0;0;0;0;0;0;0;3;41726318
Excel;254862243232;en;2;kisumu.kisumu-west;30;female;Carol Tucker;Otonglo;0;0;1;0;0;0;1;2;38688676
Excel;254539585383;en;2;kisumu.kisumu-east;66;female;Sharon Barrera;Kajulu;0;0;0;1;1;0;2;3;32097220
Excel;254734035007;en;2;kisumu.kisumu-east;65;male;James Galloway;Kondele;0;0;1;1;0;0;2;5;45594951
Excel;254250384487;en;2;kisumu.kisumu-west;41;female;Tammy Glover;Otonglo;0;0;0;0;0;0;0;2;48285503
Excel;254397679320;en;2;kisumu.kisumu-central;33;male;Jay Bernard;Milimani;0;0;1;0;0;0;1;3;84593961
Excel;254978143762;en;2;kisumu.kisumu-east;46;male;Matthew Tucker;Kajulu;0;0;1;0;1;1;3;6;35487660
Excel;254425148763;en;2;kisumu.kisumu-central;32;male;Edward Novak;Nyamasaria;0;0;1;0;0;0;1;4;87736262
Excel;254958337531;en;2;turkana.turkana-north;48;male;Noah Brown;Nakwamekwi;1;1;0;0;1;0;3;6;52091325
Excel;254160054870;en;2;kisumu.kisumu-east;51;female;Amy Silva;Kajulu;1;1;0;0;0;0;2;3;77491435
Excel;254611073144;en;2;kisumu;76;male;Thomas Schmidt;Manyatta;1;0;0;0;0;1;2;5;17634247
Excel;254206464862;en;2;turkana;53;female;Tonya Miller;Kakuma;0;0;0;0;1;0;1;4;34941004
Excel;254785638287;en;2;turkana;73;male;Barry Jones;Kakuma;0;0;0;0;1;1;2;3;41568532
Excel;254150989817;en;2;kisumu.kisumu-west;65;female;Jennifer David;Otonglo;0;0;1;0;0;0;1;4;86460539
Excel;254900979157;en;2;kisumu.kisumu-west;90;male;David Wheeler;Kisian;1;0;1;1;0;0;3;4;93131979
Excel;254994857068;en;2;turkana;56;male;Bradley Sandoval;Kakuma;1;1;0;1;1;0;4;5;85863473
Excel;254276293322;en;2;kisumu.kisumu-east;76;male;Joseph Donovan;Kondele;0;0;0;1;1;1;3;6;37415205
Excel;254766580387;en;2;kisumu;21;male;Michael Edwards;Nyalenda;1;0;1;0;1;1;4;6;45650176
Excel;254402375026;en;2;kisumu.kisumu-east;43;male;James Powers;Kajulu;0;0;0;0;0;0;0;2;50264926
Excel;254167986485;en;2;turkana.turkana-north;46;female;Joyce Hickman;Nakwamekwi;1;0;0;0;0;0;1;4;19736572
Excel;254393988313;en;2;turkana;39;male;Adam Howell;Lokichar;0;0;0;1;0;0;1;4;85563727
Excel;254486648395;en;2;kisumu.kisumu-west;57;female;Whitney Jones;Kisian;0;0;0;0;0;0;0;2;38609087
Excel;254438268182;en;2;kisumu.kisumu-west;29;female;Katie Anderson;Kisian;0;0;0;1;0;0;1;4;56843172
Excel;254428114327;en;2;turkana;22;female;Shirley Suarez;Lodwar;1;0;0;0;1;0;2;3;59597086
Excel;254174533247;en;2;kisumu.kisumu-east;71;female;Dominique Kim;Kondele;0;0;1;0;1;0;2;4;82909480
Excel;254909062038;en;2;kisumu.kisumu-east;42;male;Michael Carr;Kajulu;0;1;0;0;0;1;2;5;97775215
Excel;254856821748;en;2;kisumu.kisumu-west;61;female;Kendra Contreras;Otonglo;0;0;0;0;0;0;0;2;84437458
Excel;254618506342;en;2;kisumu.kisumu-east;18;female;Elizabeth Alvarado;Kajulu;1;1;0;0;0;0;2;4;28024248
Excel;254530695838;en;2;kisumu.kisumu-central;74;male;Dennis Preston;Nyamasaria;0;1;0;0;1;0;2;5;84252420
Excel;254147600814;en;2;kisumu.kisumu-west;55;male;Christopher Campbell;Otonglo;1;1;0;0;1;1;4;7;38270233
Excel;254194754764;en;2;kisumu.kisumu-central;90;female;Michelle Harris;Nyamasaria;0;1;0;0;1;0;2;3;95125977
Excel;254640603066;en;2;turkana;66;male;Samuel Wagner;Kakuma;0;0;1;0;0;0;1;4;43704923
Excel;254888486190;en;2;kisumu.kisumu-central;83;female;Susan Mathis;Milimani;0;1;0;0;1;0;2;4;22388090
Excel;254945043855;en;2;turkana;78;male;Mark Calderon;Kakuma;0;0;0;1;0;0;1;4;15917225
Excel;254372333269;en;2;kisumu.kisumu-west;30;male;Aaron Wise;Kisian;0;1;0;0;0;0;1;3;95511909
Excel;254730799293;en;2;kisumu;85;male;William Martin;Obunga;0;0;1;0;0;1;2;5;69302158
Excel;254614331800;en;2;turkana.turkana-north;81;female;Kristen Patterson;Nakwamekwi;0;0;1;0;0;0;1;3;11297845
Excel;254562097791;en;2;kisumu;59;female;Ashley Landry;Obunga;1;0;0;0;1;0;2;4;30005727
Excel;254150442834;en;2;turkana.turkana-north;30;male;Joshua Davenport;Nariemet;0;0;0;0;1;0;1;3;88183110
Excel;254278449020;en;2;kisumu.kisumu-west;88;female;Kristen Jordan;Otonglo;0;0;0;0;1;0;1;3;15614174
Excel;254702299568;en;2;turkana.turkana-north;63;female;Elizabeth Nolan;Nariemet;1;0;0;1;1;0;3;6;15354599
Excel;254565599690;en;2;turkana.turkana-north;84;male;Steven Clark;Nariemet;0;0;0;1;0;0;1;3;43491314
Excel;254779932311;en;2;kisumu.kisumu-east;42;female;Mary Gomez;Kajulu;1;0;1;0;0;1;3;6;85146293
Excel;254629964938;en;2;turkana.turkana-north;66;male;Stephen Russell;Nakwamekwi;0;1;0;0;1;0;2;3;93303777
Excel;254726103485;en;2;turkana;64;male;Paul Frost;Lodwar;0;0;0;0;0;1;1;2;41774346
Excel;254793768668;en;2;kisumu;65;male;Sean Cherry;Obunga;0;0;0;0;0;0;0;2;33763566
Excel;254588444771;en;2;turkana;48;male;Stanley Johnson;Lokichar;0;0;0;0;1;1;2;5;54585178
Excel;254866841505;en;2;kisumu.kisumu-central;33;female;Rachel Jenkins;Milimani;0;0;1;0;0;1;2;3;99913412
Excel;254657364238;en;2;kisumu;63;male;Sean Cochran;Nyalenda;0;0;0;0;0;1;1;4;45810056
Excel;254416721225;en;2;turkana.turkana-north;77;female;Caitlin Haynes;Nakwamekwi;0;1;0;0;0;0;1;4;61343880
Excel;254126152485;en;2;kisumu.kisumu-west;87;male;Shane Garrison;Otonglo;1;1;0;0;0;0;2;4;39854548
Excel;254207027100;en;2;kisumu.kisumu-central;40;female;Christina Sellers;Nyamasaria;0;1;1;0;1;0;3;4;56930359
Excel;254287233487;en;2;turkana.turkana-north;48;male;Eric Pope;Nakwamekwi;0;0;0;0;0;1;1;3;40547349
Excel;254621160480;en;2;kisumu.kisumu-west;46;male;Daniel Keller;Kisian;0;1;0;0;0;1;2;5;63481198
Excel;254785913764;en;2;turkana.turkana-north;31;female;Erin Lin;Nariemet;0;0;0;0;0;1;1;3;47463522
Excel;254172646467;en;2;kisumu;68;female;Heather Hicks;Obunga;0;0;1;1;0;0;2;4;81969657
Excel;254690564855;en;2;turkana.turkana-north;83;male;Gary Johnson;Nakwamekwi;0;0;0;0;0;0;0;3;45059710
Excel;254380770728;en;2;kisumu.kisumu-east;81;female;Cassandra Estes;Kondele;1;0;1;0;1;1;4;7;45630292
Excel;254996340177;en;2;kisumu;80;female;Amanda Carlson;Manyatta;1;0;0;1;0;0;2;3;56397338
Excel;254940634148;en;2;kisumu.kisumu-west;27;male;Nicholas Edwards;Otonglo;0;1;0;0;0;0;1;3;91363974
Excel;254801013692;en;2;kisumu.kisumu-east;57;male;William Wilson;Kajulu;1;0;0;0;0;1;2;3;87388337
Excel;254282835929;en;2;kisumu.kisumu-west;85;male;Connor Williams;Kisian;0;1;0;1;1;1;4;6;68526649
Excel;254434704578;en;2;kisumu.kisumu-central;64;female;April Frost;Milimani;1;0;0;0;0;0;1;2;82269803
Excel;254265036389;en;2;kisumu.kisumu-central;70;male;Michael Bentley;Nyamasaria;0;1;0;0;0;1;2;3;36445607
Excel;254745134848;en;2;kisumu;70;female;Helen Jones;Obunga;0;1;1;0;1;0;3;6;99152472
Excel;254396963987;en;2;kisumu.kisumu-east;90;female;Tammie Hanson;Kajulu;0;1;0;1;0;0;2;3;99038359
Excel;254325718483;en;2;kisumu.kisumu-central;63;female;Sarah Cortez;Milimani;0;0;0;0;1;0;1;2;50308572
Excel;254965984689;en;2;kisumu;75;female;Katie Estrada;Nyalenda;0;0;0;1;0;0;1;4;53779528
Excel;254421682525;en;2;turkana;34;male;James Phillips;Lokichar;0;1;0;1;0;0;2;5;27084279
Excel;254888590266;en;2;kisumu;21;male;Corey Ortega;Obunga;0;0;0;0;0;1;1;3;60888017
Excel;254292000031;en;2;turkana.turkana-north;51;male;Michael Orr;Nakwamekwi;1;1;1;0;0;0;3;6;92613013
Excel;254802087253;en;2;turkana;22;male;Keith Sullivan;Lodwar;1;1;0;0;1;0;3;5;10054484
Excel;254889308066;en;2;turkana;24;female;Elizabeth Clark;Lokichar;0;1;0;1;1;0;3;4;87844239
Excel;254490535766;en;2;kisumu;22;female;Lisa Morris;Nyalenda;0;1;0;0;0;0;1;2;69295515
Excel;254726929939;en;2;kisumu.kisumu-west;24;male;Jeremy Lewis;Kisian;0;0;0;1;0;0;1;3;73509974
Excel;254789277840;en;2;kisumu.kisumu-central;45;female;Rebecca Moyer;Milimani;0;1;0;0;1;1;3;5;32775593
Excel;254613546331;en;2;kisumu;55;male;Matthew Campbell;Manyatta;0;1;1;0;0;1;3;5;99100953
Excel;254213892211;en;2;kisumu.kisumu-central;90;female;Mackenzie Rogers;Nyamasaria;0;1;0;1;0;0;2;3;41523529
Excel;254527177173;en;2;kisumu.kisumu-east;75;male;Michael Walker;Kajulu;0;0;0;0;0;0;0;2;36726767
Excel;254384555396;en;2;kisumu;36;female;Brittany Williams;Manyatta;0;1;0;0;0;1;2;4;73771720
Excel;254272251278;en;2;kisumu.kisumu-central;69;female;Lisa Mack;Nyamasaria;0;0;0;1;0;1;2;5;71124923
Excel;254681831261;en;2;turkana.turkana-north;48;male;Jason Soto;Nakwamekwi;1;0;0;0;1;0;2;3;36096655
Excel;254926537853;en;2;kisumu.kisumu-central;78;female;Michelle Cruz;Nyamasaria;0;0;1;0;0;0;1;3;63640499
Excel;254619137428;en;2;kisumu;19;female;Dana Douglas;Obunga;1;1;1;0;1;0;4;6;10744212
Excel;254245046056;en;2;kisumu.kisumu-west;63;female;Stephanie Dalton;Otonglo;0;1;0;0;0;0;1;4;24305904
Excel;254572110688;en;2;turkana.turkana-north;67;female;Paula Robinson;Nariemet;0;0;0;0;0;0;0;2;79519112
Excel;254578187826;en;2;kisumu;68;female;Julie Grant;Manyatta;1;1;0;1;0;0;3;6;26288475
Excel;254838194377;en;2;kisumu;32;female;Joyce Solis;Obunga;1;0;1;1;0;1;4;5;99600766
Excel;254141898856;en;2;kisumu.kisumu-central;32;male;Joseph Hansen;Nyamasaria;0;0;0;0;0;0;0;2;52587010
Excel;254554988665;en;2;kisumu.kisumu-west;88;male;Travis Vance;Kisian;0;0;0;1;0;0;1;4;92228802
Excel;254366178964;en;2;turkana.turkana-north;48;male;Robert Mcclain;Nariemet;0;0;0;0;0;1;1;3;67276174
Excel;254228101978;en;2;turkana;48;male;Ronald Kelley;Kakuma;0;0;1;0;0;1;2;4;31361812
Excel;254831360874;en;2;kisumu.kisumu-east;75;male;Patrick Wells;Kajulu;0;1;0;0;1;0;2;3;44788100
Excel;254454496693;en;2;kisumu;90;female;Nicole Larsen;Obunga;1;1;1;0;0;1;4;5;47220099
Excel;254983097484;en;2;kisumu.kisumu-east;82;male;Ralph Boyd;Kajulu;1;0;0;1;0;1;3;5;94120751
Excel;254649569186;en;2;kisumu.kisumu-west;26;male;David Gonzales;Kisian;1;1;0;1;0;0;3;4;48349783
Excel;254662298673;en;2;turkana.turkana-north;58;male;David Rogers;Nakwamekwi;0;1;1;1;1;0;4;7;82498004
Excel;254679234206;en;2;kisumu.kisumu-west;64;female;Angela Hernandez;Kisian;0;0;0;0;0;1;1;3;61410126
Excel;254244669041;en;2;kisumu.kisumu-west;24;male;Michael Mccarthy;Kisian;1;1;1;0;1;0;4;5;18620650
Excel;254379866166;en;2;kisumu;46;female;Jennifer Rivera;Nyalenda;0;0;0;0;0;1;1;3;72535301
Excel;254309837479;en;2;turkana;31;male;Jason Clark;Kakuma;0;1;0;1;1;0;3;6;66390708
Excel;254838778676;en;2;kisumu.kisumu-west;54;female;Jean Carrillo;Otonglo;0;1;0;0;0;1;2;5;12621534
Excel;254512720517;en;2;kisumu;52;male;Scott Cannon;Manyatta;1;0;1;0;0;0;2;5;61053877
Excel;254301148900;en;2;kisumu;86;female;Karen Bender;Manyatta;0;1;1;0;0;0;2;4;50079111
Excel;254737674963;en;2;kisumu.kisumu-west;72;female;Nicole Castaneda;Kisian;1;1;0;0;0;0;2;3;66240084
Excel;254956722854;en;2;kisumu;79;female;Kimberly Navarro;Nyalenda;0;0;1;0;0;0;1;4;90967191
Excel;254180600996;en;2;kisumu;50;male;Steven Freeman;Manyatta;1;0;0;0;1;0;2;3;46632757
Excel;254197597348;en;2;kisumu.kisumu-west;73;female;Jessica Johnson;Otonglo;1;0;1;0;0;1;3;4;55114543
Excel;254200782632;en;2;kisumu.kisumu-west;28;male;Michael Yates;Otonglo;1;1;0;0;1;0;3;6;32151928
Excel;254254160954;en;2;kisumu.kisumu-east;62;male;Ryan Calhoun;Kondele;0;0;1;0;0;0;1;4;93517915
Excel;254427478537;en;2;kisumu.kisumu-central;63;male;Joseph Meadows;Milimani;0;1;0;0;0;1;2;5;89442503
Excel;254662545808;en;2;kisumu;87;female;Kristy Johnson;Nyalenda;1;0;0;1;0;0;2;3;96268397
Excel;254822009630;en;2;turkana.turkana-north;82;female;Jessica Camacho;Nariemet;0;0;1;0;0;0;1;4;34391257
Excel;254967052835;en;2;kisumu.kisumu-east;75;male;Anthony Gray;Kondele;1;1;1;0;0;0;3;4;38408562
Excel;254224992974;en;2;turkana;47;male;Jesse Rogers;Kakuma;1;0;0;0;1;0;2;4;60885459
Excel;254626306857;en;2;kisumu.kisumu-west;66;male;Donald Bean;Kisian;1;1;1;1;0;1;5;6;66581473
Excel;254116944012;en;2;kisumu.kisumu-central;60;female;Darlene Miller;Nyamasaria;0;1;1;0;1;1;4;6;12601580
Excel;254199061510;en;2;kisumu.kisumu-central;44;female;Nicole Williams;Nyamasaria;1;1;1;1;0;1;5;6;56970882
Excel;254812152561;en;2;kisumu.kisumu-central;62;female;Courtney Jones;Milimani;0;0;0;0;0;0;0;2;97477029
Excel;254824296924;en;2;kisumu.kisumu-east;85;female;Amanda Johnson;Kondele;1;0;0;0;0;1;2;4;43189803
Excel;254888129494;en;2;kisumu;58;male;Curtis Smith;Nyalenda;0;0;0;0;0;0;0;3;30452412
Excel;254236909788;en;2;kisumu.kisumu-east;77;male;David Wells;Kajulu;0;1;1;1;0;0;3;4;25353091
Excel;254127155379;en;2;kisumu.kisumu-central;90;male;Justin Robinson;Nyamasaria;0;0;1;0;0;0;1;3;44392446
Excel;254589977605;en;2;turkana;44;female;Pamela Jackson;Kakuma;0;0;1;0;0;0;1;3;91503378
Excel;254986340687;en;2;kisumu;81;female;Tracey Higgins;Nyalenda;0;0;1;1;0;0;2;4;31980274
Excel;254966609824;en;2;kisumu.kisumu-west;28;male;Vincent Rodriguez;Otonglo;0;1;1;1;1;0;4;7;13446499
Excel;254232021236;en;2;turkana;28;female;Tanya Johnston;Kakuma;0;0;0;0;1;1;2;3;60372847
Excel;254703521293;en;2;kisumu;86;male;James Espinoza;Obunga;0;0;0;1;0;0;1;3;20200074
Excel;254382825323;en;2;kisumu;36;male;Kevin Rivas;Manyatta;0;0;0;0;0;0;0;3;42594692
Excel;254757686585;en;2;kisumu.kisumu-east;62;female;Ashley Barton;Kondele;0;0;0;0;0;1;1;2;90585882
Excel;254709791314;en;2;kisumu.kisumu-east;83;male;Robert Hogan;Kondele;0;0;0;0;1;0;1;3;85958181
Excel;254138959745;en;2;turkana.turkana-north;36;female;Rachel Reed;Nakwamekwi;0;1;1;0;0;0;2;5;67495923
Excel;254629075449;en;2;kisumu.kisumu-west;53;male;Matthew Jones;Kisian;1;0;0;0;0;0;1;4;96911784
Excel;254170900712;en;2;kisumu.kisumu-west;48;female;Gloria Atkinson;Otonglo;0;1;1;1;0;1;4;5;75793759
Excel;254412018597;en;2;kisumu.kisumu-central;40;female;Ashley Yu;Milimani;1;1;1;0;0;1;4;6;95306788
Excel;254587426679;en;2;kisumu.kisumu-central;47;male;Steven Stevens;Nyamasaria;1;1;0;0;0;1;3;5;30534124
Excel;254305389828;en;2;turkana;56;male;Jeffrey Gross;Kakuma;0;1;0;0;0;0;1;3;97302916
Excel;254377709277;en;2;kisumu.kisumu-east;27;male;Devin Morton;Kondele;0;0;0;1;0;0;1;4;82232344
Excel;254506771791;en;2;kisumu.kisumu-east;25;male;Raymond Marshall;Kajulu;0;0;0;1;0;0;1;4;89520597
Excel;254583310159;en;2;kisumu.kisumu-central;75;female;Debra Christian;Nyamasaria;1;0;0;0;1;0;2;5;21631697
Excel;254415692082;en;2;kisumu.kisumu-central;54;male;Douglas Hayes;Nyamasaria;1;1;1;0;0;0;3;5;72372114
Excel;254246479970;en;2;kisumu.kisumu-west;53;male;Kelly Barnett;Kisian;0;0;0;1;0;1;2;5;55150390
Excel;254970345147;en;2;kisumu.kisumu-east;57;female;Alyssa Rosales;Kajulu;0;1;0;0;1;0;2;5;34406132
Excel;254814197305;en;2;kisumu.kisumu-west;65;male;John Kelly;Kisian;1;0;1;0;0;1;3;6;44675473
Excel;254207886293;en;2;turkana;24;female;Gina Beard;Kakuma;1;1;0;1;0;0;3;6;47080140
Excel;254418112878;en;2;kisumu.kisumu-west;26;male;Justin Black;Kisian;0;0;1;0;0;0;1;4;35643159
Excel;254805536981;en;2;kisumu.kisumu-west;42;female;Angela Cortez;Kisian;1;0;0;0;0;0;1;2;75575808
Excel;254300535022;en;2;kisumu.kisumu-east;74;female;Kristen Allen;Kajulu;1;1;1;1;1;1;6;7;73900135
Excel;254761767844;en;2;kisumu.kisumu-west;53;male;Matthew Henry;Kisian;0;0;1;0;0;0;1;3;12314351
Excel;254988609940;en;2;turkana;76;male;Brandon Walker;Kakuma;0;0;1;0;0;1;2;3;42655866
Excel;254446805101;en;2;turkana.turkana-north;72;female;Elizabeth Perkins;Nariemet;1;1;0;0;0;1;3;4;73519947
Excel;254464745301;en;2;turkana.turkana-north;65;male;Juan Cooper;Nariemet;0;0;0;0;0;0;0;2;83871890
